event_id,date_utc,time_utc,ticker,direction,event_type,score,path,dte,entry_price,spy_at_event,ret_1h_pct,ret_4h_pct,ret_eod_pct,ret_d1_pct,ret_d3_pct,spy_ret_eod_pct,excess_eod_pct,mfe_eod_pct,mae_eod_pct,factor_summary,screener_logic
99d2fc54360cb3f7,2026-04-17,13:48:46,AAPL,CALL,PATROL_PREPOSITION_TRANSITION,,,,268.98,,0.472,0.472,0.439,,,0.274,0.165,1.234,-0.201,transition:WAITING_to_APPROACHING|trigger:268.5|spot:268.08|reason:,
e950f4f29bf4dd7a,2026-04-17,13:48:51,QQQ,CALL,PATROL_PREPOSITION_TRANSITION,,,,646.46,,0.356,0.271,0.402,,,0.274,0.128,0.548,-0.048,transition:CONFIRMED_to_APPROACHING|trigger:645.39|spot:644.73|reason:,
527cc5ad620e17d1,2026-04-17,13:49:10,KWEB,CALL,TRIGGER_PULLBACK_CONFIRMED,46.5,PULLBACK,61,30.52,,0.147,-0.311,-0.294,,,0.274,-0.568,0.7,-0.623,,Screener detected $2.3M Net Premium Imbalance and 2 massive Darkpool prints.
240d491b9dab9a87,2026-04-17,13:49:10,COIN,CALL,REJECTED_LOW_SCORE,25.2,,13,206.97,,3.795,0.882,-0.089,,,0.274,-0.363,4.385,-0.766,persistence:1.3|smc:0|dp:9.1|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Pre-position CONFIRMED | COIN: persistent CALL bias $+13.7M/day×5d | DP cluster @ 184.34 (val 2/4) | ++15.0% vs SPY
99d9f9d4c1bd93fa,2026-04-17,13:49:10,META,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,684.79,,0.208,-0.076,0.494,,,0.274,0.22,0.982,-0.423,,Screener detected $1.2M Net Premium Imbalance and 52 massive Darkpool prints.
b01cc5b0b3214a8b,2026-04-17,13:49:10,USO,PUT,REJECTED_LOW_SCORE,18.4,,90,114.18,,2.168,-0.143,-2.733,,,0.274,-2.459,3.359,-2.733,persistence:5.4|smc:0|dp:8.6|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Screener detected $4.5M Net Premium Imbalance and 41 massive Darkpool prints.
0836c4296da8c991,2026-04-17,13:49:10,MU,CALL,REJECTED_LOW_SCORE,27.6,,-1,458.62,,0.031,0.002,-0.824,,,0.274,-1.098,0.853,-1.4,persistence:4.1|smc:0|dp:9.2|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Screener detected $48.1M Net Premium Imbalance and 31 massive Darkpool prints.
d96ca9181727674f,2026-04-17,13:49:10,SLV,PUT,REJECTED_LOW_SCORE,18.4,,61,74.56,,-0.383,0.711,1.877,,,0.274,2.151,1.945,-0.805,persistence:2.2|smc:0|dp:11.5|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Screener detected $3.5M Net Premium Imbalance and 24 massive Darkpool prints.
92d32169ade7c6e0,2026-04-17,13:49:10,IGV,CALL,WATCH_PULLBACK,40.2,PULLBACK,61,86.11,,0.279,-1.143,-1.23,,,0.274,-1.504,0.372,-1.568,persistence:4.2|smc:0|dp:11.8|greek:0|iv:0|open_conf:10|tod:5|ask_dom:1.0,Screener detected $2.8M Net Premium Imbalance and 14 massive Darkpool prints.
df34f26c52f31c1e,2026-04-17,13:49:10,KWEB,CALL,REJECTED_LOW_SCORE,37.8,,61,30.52,,0.147,-0.311,-0.294,,,0.274,-0.568,0.7,-0.623,persistence:2.8|smc:10|dp:10.7|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Screener detected $2.9M Net Premium Imbalance and 3 massive Darkpool prints.
fb85ab9672f180b7,2026-04-17,13:49:10,RGTI,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,,0,19.47,,1.777,-0.128,0.565,,,0.274,0.291,3.081,-1.644,,Screener detected $1.0M Net Premium Imbalance and 2 massive Darkpool prints.
6b888d213349c657,2026-04-17,13:50:21,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:APPROACHING_to_CONFIRMED|trigger:253.44|spot:253.7|reason:,
192068808926bc56,2026-04-17,13:50:40,QQQ,CALL,PATROL_PREPOSITION_TRANSITION,,,,646.46,,0.356,0.271,0.402,,,0.274,0.128,0.548,-0.048,transition:APPROACHING_to_CONFIRMED|trigger:645.39|spot:645.67|reason:,
09ddb6127c2e1518,2026-04-17,13:55:52,AMZN,UNKNOWN,REJECTED_NO_FLOW,0.0,,0,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,,Pre-position CONFIRMED | AMZN: persistent CALL bias $+144.0M/day×5d | DP cluster @ 249.27 (val 3/4) | ++3.7% vs SPY
6a93879427559b8e,2026-04-17,13:55:52,MSFT,UNKNOWN,REJECTED_NO_FLOW,0.0,,0,424.71,,1.256,-0.039,-0.528,,,0.274,-0.802,1.617,-0.947,,Pre-position CONFIRMED | MSFT: persistent CALL bias $+136.3M/day×5d | DP cluster @ 393.11 (val 2/4) | ++9.4% vs SPY
26fb2b400c866eaf,2026-04-17,13:55:52,META,PUT,REJECTED_LOW_SCORE,16.8,,90,684.79,,-0.208,0.076,-0.494,,,0.274,-0.22,0.423,-0.982,persistence:1.6|smc:0|dp:10.2|greek:0|iv:0|open_conf:0|tod:5|ask_dom:1.0,Pre-position CONFIRMED | META: persistent CALL bias $+140.3M/day×5d | DP cluster @ 662.48 (val 2/4) | ++4.5% vs SPY
2f1c3ebb0f8b1435,2026-04-17,13:55:52,AVGO,CALL,REJECTED_LOW_SCORE,36.3,,216,403.28,,-0.218,0.009,0.786,,,0.274,0.512,0.854,-0.55,persistence:1.8|smc:0|dp:9.8|greek:0|iv:0|open_conf:0|tod:5|ask_dom:0.9,Pre-position CONFIRMED | AVGO: persistent CALL bias $+53.1M/day×5d | DP cluster @ 380.48 (val 2/4) | ++9.1% vs SPY
